,State,Site Name,City,Zip,County,Latitude,Longitude,State Name,zip,population,Year
16,MA,Blackburn & Union Privileges,Walpole,02081,NORFOLK,42.138749,-71.251667,Massachusetts,02081,19703.0,1994
17,MA,Charles George Reclamation Trust Landfill,Tyngsborough,01879,MIDDLESEX,42.66945,-71.443339,Massachusetts,01879,12435.0,1983
18,MA,Creese & Cook Tannery (Former),Danvers,01923,ESSEX,42.553111,-70.926722,Massachusetts,01923,27778.0,2013
19,MA,Fort Devens,Fort Devens,01433,MIDDLESEX,42.536111,-71.596111,Massachusetts,,,1989
20,MA,Groveland Wells,Groveland,01834,ESSEX,42.753331,-71.038889,Massachusetts,01834,6747.0,1983
21,MA,Hanscom Field/Hanscom Air Force Base,Bedford,01730,MIDDLESEX,42.470666,-71.289444,Massachusetts,01730,14478.0,1994
22,MA,Haverhill Municipal Landfill,Haverhill,01830,ESSEX,42.753889,-71.046669,Massachusetts,01830,26685.0,1986
23,MA,Hocomonco Pond,Westborough,01581,WORCESTER,42.272781,-71.650831,Massachusetts,01581,21591.0,1983
24,MA,Industri-Plex,Woburn,01801,MIDDLESEX,42.516669,-71.141669,Massachusetts,01801,41205.0,1983
25,MA,Iron Horse Park,Billerica,01862,MIDDLESEX,42.583331,-71.265269,Massachusetts,01862,11703.0,1984
26,MA,Lower Neponset River,Boston/Milton,02136,SUFFOLK,42.25229,-71.1232,Massachusetts,02136,38071.0,2022
27,MA,Microfab Inc (Former),Amesbury,01913,ESSEX,42.842394,-70.959842,Massachusetts,01913,17277.0,2017
28,MA,"Natick Laboratory Army Research, Development, And Engineering Center",Natick,01760,MIDDLESEX,42.288889,-71.363611,Massachusetts,01760,36520.0,1994
29,MA,Naval Weapons Industrial Reserve Plant,Bedford,01730,MIDDLESEX,42.478889,-71.290277,Massachusetts,01730,14478.0,1994
30,MA,New Bedford,New Bedford,02740,BRISTOL,41.643171,-70.919887,Massachusetts,02740,46336.0,1983
31,MA,"Nuclear Metals, Inc.",Concord,01742,MIDDLESEX,42.441667,-71.421944,Massachusetts,01742,18337.0,2001
32,MA,Nyanza Chemical Waste Dump,Ashland,01721,MIDDLESEX,42.258611,-71.473611,Massachusetts,01721,18694.0,1983
33,MA,Olin Chemical,Wilmington,01887,MIDDLESEX,42.528056,-71.153889,Massachusetts,01887,23195.0,2006
34,MA,Otis Air National Guard Base/Camp Edwards,Falmouth,02542,BARNSTABLE,41.651666,-70.521388,Massachusetts,02542,854.0,1989
35,MA,Psc Resources,Palmer,01069,HAMPDEN,42.153331,-72.330281,Massachusetts,01069,9077.0,1983
36,MA,"Re-Solve, Inc.",Dartmouth,02747,BRISTOL,41.688061,-71.033889,Massachusetts,02747,21500.0,1983
37,MA,Rose Disposal Pit,Lanesboro,01237,BERKSHIRE,42.5055,-73.2748,Massachusetts,01237,2269.0,1986
38,MA,Silresim Chemical Corp.,Lowell,01853,MIDDLESEX,42.628889,-71.313889,Massachusetts,,,1983
39,MA,South Weymouth Naval Air Station,Weymouth,02190,NORFOLK,42.155277,-70.93347,Massachusetts,02190,19029.0,1994
40,MA,Sullivan'S Ledge,New Bedford,02740,BRISTOL,41.654719,-70.957219,Massachusetts,02740,46336.0,1984
41,MA,Sutton Brook Disposal Area,Tewksbury,01876,MIDDLESEX,42.598222,-71.183194,Massachusetts,01876,30962.0,2001
42,MA,"W.R. Grace & Co., Inc. (Acton Plant)",Acton,01720,MIDDLESEX,42.45055,-71.427781,Massachusetts,01720,23322.0,1983
