Region,State,Site Name,Site ID,,EPA ID,Address,City,Zip,County,FF Ind,NAI,Native American Entity,,Latitude,Longitude,NPL Status
,,,,,,,,,,,,(NAI Status),,,,Date
2,NJ,A. O. POLYMER,200290,,NJD030253355,44 STATION ROAD,SPARTA TOWNSHIP,7871,SUSSEX,N,N,,,41.04805,-74.63,09/08/83
2,NJ,AMERICAN CYANAMID CO,200144,,NJD002173276,EASTON TURNPIKE,BRIDGEWATER,8805,SOMERSET,N,N,,,40.555561,-74.55945,09/08/83
2,NJ,ATLANTIC RESOURCES,201116,,NJD981558430,120 HORSESHOE ROAD,SAYREVILLE,8872,MIDDLESEX,N,N,,,40.486111,-74.319444,09/05/02
2,NJ,BOG CREEK FARM,200397,,NJD063157150,SQUANRUM RD. (MONMOUTH CO. RT. 547),HOWELL TOWNSHIP,7727,MONMOUTH,N,N,,,40.150831,-74.161111,09/08/83
2,NJ,BRICK TOWNSHIP LANDFILL,200540,,NJD980505176,SALLY IKE ROAD,BRICK TOWNSHIP,8723,OCEAN,N,N,,,40.1098,-74.1311,09/08/83
2,NJ,BRIDGEPORT RENTAL & OIL SERVICES,200364,,NJD053292652,CEDAR SWAMP RD,BRIDGEPORT,8014,GLOUCESTER,N,N,,,39.801669,-75.321661,09/08/83
2,NJ,BROOK INDUSTRIAL PARK,200450,,NJD078251675,100 WEST MAIN STREET,BOUND BROOK,8805,SOMERSET,N,N,,,40.560139,-74.536111,10/04/89
2,NJ,BURNT FLY BOG,200528,,NJD980504997,TYLERS LANE,MARLBORO TOWNSHIP,7746,MONMOUTH,N,N,,,40.375,-74.279169,09/08/83
2,NJ,CALDWELL TRUCKING CO.,200340,,NJD048798953,222 PASSAIC AVENUE,FAIRFIELD,7004,ESSEX,N,N,,,40.876389,-74.271389,09/08/83
2,NJ,CHEMICAL CONTROL,200037,,NJD000607481,23 SOUTH FRONT ST,ELIZABETH,7202,UNION,N,N,,,40.6432,-74.1935,09/08/83
2,NJ,CHEMICAL INSECTICIDE CORP.,200517,,NJD980484653,30 WHITMAN AV,EDISON TOWNSHIP,8817,MIDDLESEX,N,N,,,40.5274,-74.368,08/30/90
2,NJ,"CHEMICAL LEAMAN TANK LINES, INC.",200327,,NJD047321443,CEDAR SWAMP & COOPER RDS,BRIDGEPORT,8014,GLOUCESTER,N,N,,,39.798331,-75.332781,09/21/84
2,NJ,"CHEMSOL, INC.",200607,,NJD980528889,FLEMING ST,PISCATAWAY,8854,MIDDLESEX,N,N,,,40.5625,-74.443339,09/08/83
2,NJ,CIBA-GEIGY CORP.,200078,,NJD001502517,RTE #37,TOMS RIVER,8753,OCEAN,N,N,,,39.9867,-74.2363,09/08/83
2,NJ,CINNAMINSON TOWNSHIP (BLOCK 702) GROUND WATER CONTAMINATION,200995,,NJD980785638,1017 UNION LANDING ROAD,CINNAMINSON TOWNSHIP,8077,BURLINGTON,N,N,,,40.0175,-74.9862,06/10/86
2,NJ,COMBE FILL SOUTH LANDFILL,200489,,NJD094966611,PARKER ROAD- BOX 418,CHESTER TOWNSHIP,7930,MORRIS,N,N,,,40.771669,-74.738331,09/08/83
2,NJ,CORNELL DUBILIER ELECTRONICS INC.,201112,,NJD981557879,333 HAMILTON BLVD,SOUTH PLAINFIELD,7080,MIDDLESEX,N,N,,,40.576389,-74.414167,07/28/98
2,NJ,COSDEN CHEMICAL COATINGS CORP.,200022,,NJD000565531,CHERRY STREET,BEVERLY,8010,BURLINGTON,N,N,,,40.058183,-74.925899,07/22/87
2,NJ,CPS/MADISON INDUSTRIES,200109,,NJD002141190,WATERWORKS ROAD,OLD BRIDGE TOWNSHIP,8857,MIDDLESEX,N,N,,,40.434439,-74.327769,09/08/83
2,NJ,"CURCIO SCRAP METAL, INC.",200273,,NJD011717584,416 LANZA AVE,SADDLE BROOK TWP,7662,BERGEN,N,N,,,40.8907,-74.1035,07/22/87
2,NJ,"CURTIS SPECIALTY PAPERS, INC",203733,,NJD057143984,404 FRENCHTOWN ROAD,MILFORD,8848,HUNTERDON,N,N,,,40.561758,-75.089842,09/23/09
2,NJ,D'IMPERIO PROPERTY,200639,,NJD980529416,RTE 322,HAMILTON TOWNSHIP,8330,ATLANTIC,N,N,,,39.454439,-74.658889,09/08/83
2,NJ,DAYCO CORP./L.E CARPENTER CO.,200136,,NJD002168748,170 N MAIN STREET,WHARTON BOROUGH,7885,MORRIS,N,N,,,40.903331,-74.5775,07/22/87
2,NJ,DE REWAL CHEMICAL CO.,200792,,NJD980761373,DELAWARE RIVER DR,KINGWOOD TOWNSHIP,8825,HUNTERDON,N,N,,,40.5162,-75.0614,09/21/84
2,NJ,DIAMOND ALKALI CO.,200613,,NJD980528996,80 LISTER AVE,NEWARK,7105,ESSEX,N,N,,,40.739719,-74.136111,09/21/84
2,NJ,DIAMOND HEAD OIL REFINERY DIV.,200484,,NJD092226000,272 HARRISON AVENUE,KEARNY,7032,HUDSON,N,N,,,40.749783,-74.133092,09/05/02
2,NJ,DOVER MUNICIPAL WELL 4,200768,,NJD980654131,272 ROUTE46,DOVER,7801,MORRIS,N,N,,,40.8858,-74.5423,09/08/83
2,NJ,ELLIS PROPERTY,200620,,NJD980529085,SHARP ROAD,EVESHAM TOWNSHIP,8053,BURLINGTON,N,N,,,39.905,-74.864719,09/08/83
2,NJ,EMMELL'S SEPTIC LANDFILL,200986,,NJD980772727,128 ZURICH AVE,GALLOWAY TOWNSHIP,8215,ATLANTIC,N,N,,,39.500694,-74.543611,07/22/99
2,NJ,EVOR PHILLIPS LEASING,200776,,NJD980654222,OLD WATER WORKS ROAD,OLD BRIDGE TOWNSHIP,8857,MIDDLESEX,N,N,,,40.4375,-74.325,09/08/83
2,NJ,EWAN PROPERTY,200791,,NJD980761365,WALLINGFORD WAY,SHAMONG TOWNSHIP,8088,BURLINGTON,N,N,,,39.802781,-74.719439,09/21/84
2,NJ,FAIR LAWN WELL FIELD,200765,,NJD980654107,IND PARK/HENDERSON BLVD 11 ST,FAIR LAWN,7410,BERGEN,N,N,,,40.9375,-74.131939,09/08/83
2,NJ,FEDERAL AVIATION ADMINISTRATION TECHNICAL CENTER (USDOT),201178,,NJ9690510020,ROUTES 563 & 575,ATLANTIC COUNTY,8405,ATLANTIC,Y,N,,,39.458331,-74.583339,08/30/90
2,NJ,FORMER KIL-TONE COMPANY,200874,,NJN000200874,527 East Chestnut Avenue,VINELAND,8360,CUMBERLAND,N,N,,,39.47841,-75.025489,04/07/16
2,NJ,FRANKLIN BURN,204087,,NJD986570992,SIX LOCATIONS NEAR MARSHALL MILL ROAD,FRANKLIN TOWNSHIP,8322,GLOUCESTER,N,N,,,39.594444,-75.025,06/17/96
2,NJ,FRIED INDUSTRIES,200303,,NJD041828906,11 FRESH POND ROAD,EAST BRUNSWICK TOWNSHIP,8816,MIDDLESEX,N,N,,,40.4424,-74.4412,06/10/86
2,NJ,GARDEN STATE CLEANERS CO.,200362,,NJD053280160,"SUMMER ROAD, P.O. BOX 183",MINOTOLA,8341,ATLANTIC,N,N,,,39.519031,-74.94945,03/31/89
2,NJ,GARFIELD GROUND WATER CONTAMINATION,206317,,NJN000206317,125 CLARK ST,GARFIELD,7026,BERGEN,N,N,,,40.871858,-74.106431,09/16/11
2,NJ,GEMS LANDFILL,200627,,NJD980529192,ERIAL & HICKSTOWN ROADS,GLOUCESTER TOWNSHIP,8012,CAMDEN,N,N,,,39.77945,-75.018889,09/08/83
2,NJ,GLOBAL SANITARY LANDFILL,200398,,NJD063160667,ERNSTON ROAD,OLD BRIDGE TOWNSHIP,8857,MIDDLESEX,N,N,,,40.446389,-74.286111,03/31/89
2,NJ,GOOSE FARM,200681,,NJD980530109,RT. 539 BETWEEN RTS 537 & 528,PLUMSTEAD TOWNSHIP,8533,OCEAN,N,N,,,40.09555,-74.4975,09/08/83
2,NJ,HELEN KRAMER LANDFILL,200552,,NJD980505366,392 Boody Mill Road,MANTUA TOWNSHIP,8579,GLOUCESTER,N,N,,,39.7801,-75.2003,09/08/83
2,NJ,"HERCULES, INC. (GIBBSTOWN PLANT)",200188,,NJD002349058,50 NORTH MARKET ST,GIBBSTOWN,8027,GLOUCESTER,N,N,,,39.838889,-75.277781,09/08/83
2,NJ,HIGGINS DISPOSAL,200359,,NJD053102232,121 LAUREL AVE,KINGSTON,8528,SOMERSET,N,N,,,40.3875,-74.615281,08/30/90
2,NJ,HIGGINS FARM,201094,,NJD981490261,ROUTE 518,FRANKLIN TOWNSHIP,8540,SOMERSET,N,N,,,40.406389,-74.602781,03/31/89
2,NJ,HORSESHOE ROAD,200781,,NJD980663678,Postal Address is unavailable for the Site,SAYREVILLE,8872,MIDDLESEX,N,N,,,40.484722,-74.319444,09/29/95
2,NJ,ICELAND COIN LAUNDRY AREA GW PLUME,204037,,NJ0001360882,1888 SOUTH DELSEA DRIVE,VINELAND,8360,CUMBERLAND,N,N,,,39.45725,-75.04725,10/22/99
